Produto Interno Bruto Per Capita,,
"Observatório do Trabalho do Estado de Minas Gerais, Municípios.  Ano: 2021.  Valores em reais (R$).",,
Municípios,Ano(s),Produto interno bruto per capita
,,Total
Dores do Indaiá ,2021,"26.339,03"
Dores do Turvo ,2021,"15.908,49"
Doresópolis ,2021,"54.667,85"
Douradoquara ,2021,"41.427,06"
Durandé ,2021,"15.560,07"
Elói Mendes ,2021,"24.720,90"
Engenheiro Caldas ,2021,"13.936,20"
Engenheiro Navarro ,2021,"12.715,66"
Entre Folhas ,2021,"12.061,39"
Entre Rios de Minas ,2021,"17.481,31"
Ervália ,2021,"21.529,87"
Esmeraldas ,2021,"13.419,92"
Espera Feliz ,2021,"16.254,21"
Espinosa ,2021,"11.517,31"
Espírito Santo do Dourado ,2021,"25.854,33"
Estiva ,2021,"52.723,75"
Estrela Dalva ,2021,"18.586,66"
Estrela do Indaiá ,2021,"47.456,81"
Estrela do Sul ,2021,"43.679,34"
Eugenópolis ,2021,"19.487,85"
Ewbank da Câmara ,2021,"13.825,96"
Extrema ,2021,"362.591,97"
Fama ,2021,"24.698,85"
Faria Lemos ,2021,"20.105,49"
Felício dos Santos ,2021,"15.837,34"
Felisburgo ,2021,"10.030,05"
Felixlândia ,2021,"18.106,34"
Fernandes Tourinho ,2021,"13.101,70"
Ferros ,2021,"15.447,38"
Fervedouro ,2021,"14.134,11"
Florestal ,2021,"18.785,70"
Formiga ,2021,"32.581,52"
Formoso ,2021,"32.101,59"
Fortaleza de Minas ,2021,"24.956,60"
Fortuna de Minas ,2021,"17.170,82"
Francisco Badaró ,2021,"7.546,65"
Francisco Dumont ,2021,"14.352,60"
Franciscópolis ,2021,"19.449,13"
Francisco Sá ,2021,"17.077,75"
Frei Gaspar ,2021,"13.674,68"
Frei Inocêncio ,2021,"15.488,87"
Frei Lagonegro ,2021,"10.171,36"
Fronteira dos Vales ,2021,"10.777,90"
Fronteira ,2021,"49.568,10"
Fruta de Leite ,2021,"8.999,57"
Frutal ,2021,"40.872,58"
Funilândia ,2021,"18.794,03"
Galiléia ,2021,"16.814,67"
Gameleiras ,2021,"11.278,35"
Glaucilândia ,2021,"12.945,77"
Goiabeira ,2021,"14.670,26"
Goianá ,2021,"15.513,28"
Gonçalves ,2021,"21.624,99"
Gonzaga ,2021,"11.153,48"
Gouveia ,2021,"16.842,21"
Governador Valadares ,2021,"26.165,06"
Grão Mogol ,2021,"48.352,82"
Grupiara ,2021,"31.890,41"
Guanhães ,2021,"28.633,61"
Guapé ,2021,"27.386,89"
Guaraciaba ,2021,"11.179,62"
Guaraciama ,2021,"15.589,72"
Guaranésia ,2021,"28.891,14"
Guarani ,2021,"19.461,62"
Guarará ,2021,"15.349,17"
Guarda-Mor ,2021,"114.474,42"
Guaxupé ,2021,"53.726,80"
Guidoval ,2021,"17.600,19"
Guimarânia ,2021,"40.063,15"
Guiricema ,2021,"13.793,57"
Gurinhatã ,2021,"32.779,01"
Heliodora ,2021,"20.150,08"
Iapu ,2021,"15.915,10"
Ibertioga ,2021,"20.716,39"
Ibiaí ,2021,"13.560,18"
Ibiá ,2021,"60.160,30"
Ibiracatu ,2021,"9.600,19"
Ibiraci ,2021,"51.550,46"
Ibirité ,2021,"17.407,52"
Ibitiúra de Minas ,2021,"22.201,20"
Ibituruna ,2021,"19.766,09"
Icaraí de Minas ,2021,"9.134,97"
Igarapé ,2021,"21.707,59"
Igaratinga ,2021,"51.874,24"
Iguatama ,2021,"74.348,83"
Ijaci ,2021,"74.228,52"
Ilicínea ,2021,"21.212,04"
Imbé de Minas ,2021,"14.503,11"
Inconfidentes ,2021,"17.947,26"
Indaiabira ,2021,"11.914,84"
Indianópolis ,2021,"124.934,02"
Ingaí ,2021,"41.544,77"
Inhapim ,2021,"16.852,46"
Inhaúma ,2021,"22.951,75"
Inimutaba ,2021,"11.931,24"
Ipaba ,2021,"9.527,36"
Ipanema ,2021,"17.115,04"
Ipatinga ,2021,"65.869,82"
Ipiaçu ,2021,"43.292,43"
Ipuiúna ,2021,"18.563,37"
Iraí de Minas ,2021,"42.670,29"
Itabira ,2021,"123.006,06"
Itabirinha ,2021,"11.723,25"
Itabirito ,2021,"247.940,00"
Itacambira ,2021,"11.331,15"
Itacarambi ,2021,"12.454,64"
Itaguara ,2021,"29.790,11"
Itaipé ,2021,"9.419,18"
Itajubá ,2021,"33.630,33"
Itamarandiba ,2021,"18.431,80"
Itamarati de Minas ,2021,"15.321,00"
Itambacuri ,2021,"14.696,07"
Itambé do Mato Dentro ,2021,"17.678,00"
Itamogi ,2021,"23.351,61"
Itamonte ,2021,"74.613,56"
Itanhandu ,2021,"30.315,87"
Itanhomi ,2021,"12.341,60"
Itaobim ,2021,"14.701,65"
Itapagipe ,2021,"33.155,10"
Itapecerica ,2021,"28.915,19"
Itapeva ,2021,"85.067,72"
Itatiaiuçu ,2021,"610.779,65"
Itaú de Minas ,2021,"44.471,67"
Itaúna ,2021,"53.834,65"
Itaverava ,2021,"13.411,54"
Itinga ,2021,"9.849,06"
Itueta ,2021,"20.119,67"
Ituiutaba ,2021,"35.891,17"
Itumirim ,2021,"15.326,47"
Iturama ,2021,"50.309,34"
Itutinga ,2021,"46.016,16"
Jaboticatubas ,2021,"14.403,17"
